city,lat,lng,country
nicosia,35.1725,33.365,cyprus
limassol,34.675,33.0443,cyprus
larnaca,34.9233,33.6305,cyprus
famagusta,35.1167,33.95,cyprus
paphos,34.7761,32.4265,cyprus
kyrenia,35.3403,33.3192,cyprus
kato polemidia,34.6931,32.9992,cyprus
aradippou,34.9478,33.5881,cyprus
latsia,35.0968,33.3773,cyprus
paralimni,35.0387,33.9862,cyprus
agios athanasios,34.7087,33.0504,cyprus
mesa geitonia,34.7024,33.0453,cyprus
germasogeia,34.7181,33.0856,cyprus
dali,35.024,33.4226,cyprus
geri,35.1062,33.4195,cyprus
geroskipou,34.7609,32.4484,cyprus
morfou,35.1978,32.9927,cyprus
livadia,34.9551,33.6273,cyprus
tseri,35.0725,33.3243,cyprus
deryneia,35.063,33.9585,cyprus
athienou,35.0618,33.5417,cyprus
lysi,35.1041,33.6815,cyprus
pegeia,34.8838,32.3819,cyprus
lapithos,35.3441,33.1675,cyprus
agia napa,34.9899,34.0006,cyprus
kythrea,35.2451,33.4825,cyprus
nicosia,35.1725,33.365,kıbrıs
limasol,34.675,33.0443,kıbrıs
larnaka,34.9233,33.6305,kıbrıs
gazimagusa,35.1167,33.95,kıbrıs
baf,34.7761,32.4265,kıbrıs
girne,35.3403,33.3192,kıbrıs
kato polemidia,34.6931,32.9992,kıbrıs
aradippou,34.9478,33.5881,kıbrıs
latsiya,35.0968,33.3773,kıbrıs
paralimni,35.0387,33.9862,kıbrıs
agios athanasios,34.7087,33.0504,kıbrıs
mesa geltonia,34.7024,33.0453,kıbrıs
germasogeia,34.7181,33.0856,kıbrıs
dali,35.024,33.4226,kıbrıs
geri,35.1062,33.4195,kıbrıs
geroskipou,34.7609,32.4484,kıbrıs
morfou,35.1978,32.9927,kıbrıs
livadia,34.9551,33.6273,kıbrıs
tseri,35.0725,33.3243,kıbrıs
deryneia,35.063,33.9585,kıbrıs
athienou,35.0618,33.5417,kıbrıs
lysi,35.1041,33.6815,kıbrıs
pegeia,34.8838,32.3819,kıbrıs
lapithos,35.3441,33.1675,kıbrıs
agia napa,34.9899,34.0006,kıbrıs
kythrea,35.2451,33.4825,kıbrıs
никосия,35.1725,33.365,кипр
лимасол,34.675,33.0443,кипр
ларнака,34.9233,33.6305,кипр
фамагуста,35.1167,33.95,кипр
пафос,34.7761,32.4265,кипр
кирении,35.3403,33.3192,кипр
като полемидия,34.6931,32.9992,кипр
арадиппу,34.9478,33.5881,кипр
лация,35.0968,33.3773,кипр
паралимни,35.0387,33.9862,кипр
агиос атанасиос,34.7087,33.0504,кипр
меша гейтония,34.7024,33.0453,кипр
гермасойя,34.7181,33.0856,кипр
дали,35.024,33.4226,кипр
жери,35.1062,33.4195,кипр
героскипу,34.7609,32.4484,кипр
морфу,35.1978,32.9927,кипр
ливадия,34.9551,33.6273,кипр
цери,35.0725,33.3243,кипр
дереня,35.063,33.9585,кипр
атиену,35.0618,33.5417,кипр
лиги,35.1041,33.6815,кипр
пегея,34.8838,32.3819,кипр
лапитос,35.3441,33.1675,кипр
агия-напа,34.9899,34.0006,кипр
китрея,35.2451,33.4825,кипр
